id,plant_id,account_type,is_active,plant_name,year,market_price_min,market_price_max,unit,size,est_price,source
80,PLTA0073,A,0,จั๋ง จั๋งไทย จั๋งจีน,2568,,,–,S,–,ไม่มีการซื้อขายในตลาด
81,PLTA0074,A,1,จัน จันอิน จันโอ จันลูกหอม,2568,80,250,บาท/ต้น,S,80,ร้านขายต้นไม้ (ราคาขายปลีก)
82,PLTA0075,A,1,จันทน์ จันทน์หอม จันทน์พม่า จันทน์ชะมด จันทน์ขาว,2568,300,1500,บาท/ต้น,S,300,ร้านขายต้นไม้ / กรมป่าไม้ (ราคาขายปลีก)
83,PLTA0076,A,1,จันทน์เทศ จันทน์บ้าน,2568,80,200,บาท/ต้น,S,80,ร้านขายต้นไม้ (ราคาขายปลีก)
84,PLTA0077,A,1,จันทน์ผา จันทร์แดง ลักกะจันทน์ ก. ความสูงไม่ถึง 2.50 เมตร,2568,1000,3000,บาท/ต้น,S,"1,000",ร้านขายต้นไม้ (ราคาขายปลีก)
85,PLTA0077,A,1,จันทน์ผา จันทร์แดง ลักกะจันทน์ ข. ความสูงตั้งแต่ 2.50 เมตรขึ้นไป,2568,2000,5000,บาท/ต้น,S,–,ร้านขายต้นไม้ (ราคาขายปลีก)
86,PLTA0078,A,1,จันทร์กระพ้อ,2568,300,1500,บาท/ต้น,S,300,ร้านขายต้นไม้ (ราคาขายปลีก)
87,PLTA0079,A,1,จาก,2568,100,400,บาท/กอ,S,100,ร้านขายต้นไม้ (ราคาขายปลีก)
88,PLTA0080,A,1,จากค้อ,2568,,,–,S,–,ไม่มีการซื้อขายในตลาด
89,PLTA0081,A,1,จากทัง,2568,,,–,S,–,ไม่มีการซื้อขายในตลาด
90,PLTA0082,A,1,จากน้ำ (มุงหลังคา) ก. ความสูงไม่ถึง 50 ซม.,2568,,,–,S,–,ไม่มีการซื้อขายในตลาด
91,PLTA0082,A,1,จากน้ำ (มุงหลังคา) ข. ความสูง 50 ซม.ขึ้นไปถึง 1 เมตร,2568,,,–,S,–,ไม่มีการซื้อขายในตลาด
92,PLTA0082,A,1,จากน้ำ (มุงหลังคา) ค. ความสูงเกินกว่า 1 เมตรขึ้นไป,2568,,,–,S,–,ไม่มีการซื้อขายในตลาด
93,PLTA0083,A,1,จากสาคู,2568,,,–,S,–,ไม่มีการซื้อขายในตลาด
94,PLTA0084,A,1,จามจุรี ก้ามปู ฉำฉา ก. วงรอบลำต้นไม่ถึง 20 ซม.,2568,50,200,บาท/ต้น,S,50,ร้านขายต้นไม้ (ราคาขายปลีก)
95,PLTA0084,A,1,จามจุรี ก้ามปู ฉำฉา ข. วงรอบลำต้น 20–50 ซม.,2568,150,500,บาท/ต้น,S,150,ร้านขายต้นไม้ (ราคาขายปลีก)
96,PLTA0084,A,1,จามจุรี ก้ามปู ฉำฉา ค. วงรอบลำต้น 50 ซม.–1 เมตร,2568,200,800,บาท/ต้น,S,200,ร้านขายต้นไม้ (ราคาขายปลีก)
97,PLTA0084,A,1,จามจุรี ก้ามปู ฉำฉา ง. วงรอบลำต้น 1–2 เมตร,2568,600,2000,บาท/ต้น,S,–,ตลาดสี่มุมเมือง (ราคาขายส่ง)
98,PLTA0084,A,1,จามจุรี ก้ามปู ฉำฉา จ. วงรอบลำต้น 2–3 เมตร,2568,800,3000,บาท/ต้น,S,–,ตลาดสี่มุมเมือง (ราคาขายส่ง)
99,PLTA0084,A,1,จามจุรี ก้ามปู ฉำฉา ฉ. วงรอบลำต้น 3 เมตรขึ้นไป,2568,1000,5000,บาท/ต้น,S,–,ตลาดสี่มุมเมือง (ราคาขายส่ง)
100,PLTA0085,A,1,จำปา,2568,200,800,บาท/ต้น,S,200,ร้านขายต้นไม้ (ราคาขายปลีก)
101,PLTA0086,A,1,จำปาดะ,2568,300,1000,บาท/ต้น,S,300,ตลาดไท / ตลาดต้นไม้ (ราคาขายส่ง)
102,PLTA0087,A,1,จำปี,2568,200,800,บาท/ต้น,S,200,ร้านขายต้นไม้ (ราคาขายปลีก)
103,PLTA0088,A,1,จำปูน,2568,500,3000,บาท/ต้น,S,500,ร้านขายต้นไม้ (ราคาขายปลีก)
104,PLTA0089,A,1,จำเรียง,2568,,,–,S,–,ไม่มีการซื้อขายในตลาด
105,PLTA0090,A,1,จิก จิกน้ำนม จิกนา กระโดนทุ่ง กระโดนน้ำ เกาลัดไทย,2568,100,400,บาท/ต้น,S,100,ร้านขายต้นไม้ (ราคาขายปลีก)
106,PLTA0091,A,1,จุมจัง ตุมตัง จุมจาง กระแจะ,2568,,,–,S,–,ไม่มีการซื้อขายในตลาด
107,PLTA0092,A,1,แจง,2568,80,250,บาท/ต้น,S,80,ร้านขายต้นไม้ (ราคาขายปลีก)
108,PLTA0093,A,1,ชงโค เสี้ยวหวาน ผักเสี้ยว เสี้ยวดอกแดง,2568,150,600,บาท/ต้น,S,150,ร้านขายต้นไม้ (ราคาขายปลีก)
109,PLTA0094,A,1,ชบา,2568,80,300,บาท/ต้น,S,80,ร้านขายต้นไม้ (ราคาขายปลีก)
110,PLTA0095,A,1,ชบาด่าง,2568,80,200,บาท/ต้น,S,80,ร้านขายต้นไม้ (ราคาขายปลีก)
111,PLTA0096,A,0,ชมพู่,2568,100,500,บาท/ต้น,S,100,ตลาดไท / ตลาดต้นไม้ (ราคาขายส่ง)
112,PLTA0097,A,1,ชมพูพันธุ์ทิพย์ ตาเบบูย่า ชมพูอินเดีย ธรรมบูชา,2568,,,–,S,–,ไม่มีการซื้อขายในตลาด
113,PLTA0098,A,1,ชมพู่พันธุ์ดี,2568,500,2500,บาท/ต้น,S,500,ตลาดไท / ตลาดต้นไม้ (ราคาขายส่ง)
114,PLTA0099,A,1,ชมพู่พันธุ์พื้นเมือง,2568,300,1500,บาท/ต้น,S,300,ตลาดไท / ตลาดต้นไม้ (ราคาขายส่ง)
115,PLTA0100,A,1,ชมพู่มะเหมี่ยว,2568,300,1200,บาท/ต้น,S,300,ตลาดไท / ตลาดต้นไม้ (ราคาขายส่ง)
116,PLTA0101,A,1,ชะมวง,2568,150,600,บาท/ต้น,S,150,ร้านขายต้นไม้ (ราคาขายปลีก)
117,PLTA0102,A,1,ชะเหลา,2568,,,–,S,–,ไม่มีการซื้อขายในตลาด
118,PLTA0103,A,1,ชะอม,2568,80,200,บาท/ต้น,S,80,ตลาดไท / ตลาดต้นไม้ (ราคาขายส่ง)
119,PLTA0104,A,1,ชัยพฤกษ์,2568,150,600,บาท/ต้น,S,150,ร้านขายต้นไม้ (ราคาขายปลีก)
120,PLTA0105,A,1,ชา,2568,80,250,บาท/ต้น,S,80,ตลาด (ราคาขายปลีก)
121,PLTA0106,A,1,ชาด ตาด,2568,,,–,S,–,ไม่มีการซื้อขายในตลาด
122,PLTA0107,A,1,ชาดัด,2568,300,800,บาท/ต้น,S,300,ร้านขายต้นไม้ (ราคาขายปลีก)
123,PLTA0108,A,1,ชาฮกเกี้ยน (ดัด),2568,300,800,บาท/ต้น,S,300,ร้านขายต้นไม้ (ราคาขายปลีก)
124,PLTA0109,A,1,ชำมะเลียง พุ่มเรียง ชำมะเลียงบ้าน,2568,100,300,บาท/ต้น,S,100,ร้านขายต้นไม้ (ราคาขายปลีก)
125,PLTA0110,A,1,เชอรี่,2568,200,800,บาท/ต้น,S,200,ตลาดไท / ตลาดต้นไม้ (ราคาขายส่ง)
126,PLTA0111,A,1,เชือก,2568,,,–,S,–,ไม่มีการซื้อขายในตลาด
127,PLTA0112,A,1,ชุมเห็ด ชุมเห็ดเทศ,2568,80,200,บาท/ต้น,S,80,ร้านขายต้นไม้ (ราคาขายปลีก)
128,PLTA0113,A,1,ชุมแสง,2568,,,–,S,–,ไม่มีการซื้อขายในตลาด
129,PLTA0114,A,1,ดูกโส,2568,,,–,S,–,ไม่มีการซื้อขายในตลาด
130,PLTA0115,A,1,แดง,2568,200,800,บาท/ต้น,S,200,ร้านขายต้นไม้ / กรมป่าไม้ (ราคาขายปลีก)
131,PLTA0116,A,1,ตะกู,2568,,,–,S,–,ไม่มีการซื้อขายในตลาด
132,PLTA0117,A,1,ตะโก,2568,300,1000,บาท/ต้น,S,300,ร้านขายต้นไม้ (ราคาขายปลีก)
133,PLTA0118,A,1,ตะโกดัด,2568,2000,6000,บาท/ต้น,S,"2,000",ตลาดสี่มุมเมือง (ราคาขายส่ง)
134,PLTA0119,A,1,ตะขบ,2568,100,400,บาท/ต้น,S,100,ร้านขายต้นไม้ (ราคาขายปลีก)
135,PLTA0120,A,1,ตะคร้อ,2568,,,–,S,–,ไม่มีการซื้อขายในตลาด
136,PLTA0121,A,1,ตะคร้ำ,2568,,,–,S,–,ไม่มีการซื้อขายในตลาด
137,PLTA0122,A,1,ตะเคียน ตะเคียนทอง,2568,300,1500,บาท/ต้น,S,300,กรมป่าไม้ (ราคาหน้าสวน)
138,PLTA0123,A,1,ตะเบเหลือง เหลืองปรีดียาธร,2568,200,800,บาท/ต้น,S,200,ร้านขายต้นไม้ (ราคาขายปลีก)
139,PLTA0124,A,1,ตะแบก,2568,300,1200,บาท/ต้น,S,300,ร้านขายต้นไม้ (ราคาขายปลีก)
140,PLTA0125,A,1,ตะล่ำ,2568,,,–,S,–,ไม่มีการซื้อขายในตลาด
141,PLTA0126,A,1,ตาลิงปลึง,2568,150,500,บาท/ต้น,S,150,ร้านขายต้นไม้ (ราคาขายปลีก)
142,PLTA0127,A,1,ตาลกิ่ง,2568,200,600,บาท/ต้น,S,200,ร้านขายต้นไม้ (ราคาขายปลีก)
143,PLTA0128,A,1,ตาลจีน,2568,200,600,บาท/ต้น,S,200,ร้านขายต้นไม้ (ราคาขายปลีก)
144,PLTA0129,A,1,ตาลโตนด ตาล,2568,500,2000,บาท/ต้น,S,500,ร้านขายต้นไม้ (ราคาขายปลีก)
145,PLTA0130,A,1,ตาลฟ้า,2568,1000,4000,บาท/ต้น,S,"1,000",ร้านขายต้นไม้ (ราคาขายปลีก)
146,PLTA0131,A,1,ติ้ว แต้ว,2568,150,600,บาท/ต้น,S,150,ร้านขายต้นไม้ (ราคาขายปลีก)
147,PLTA0132,A,1,เต็ง,2568,,,–,S,–,ไม่มีการซื้อขายในตลาด
148,PLTA0133,A,1,เต่าลั้ง เต่าร้าง,2568,500,2000,บาท/ต้น,S,500,ร้านขายต้นไม้ (ราคาขายปลีก)
149,PLTA0134,A,1,ท้อ,2568,150,500,บาท/ต้น,S,150,ตลาดไท / ตลาดต้นไม้ (ราคาขายส่ง)
150,PLTA0135,A,1,ทองกวาว,2568,300,1000,บาท/ต้น,S,300,ร้านขายต้นไม้ (ราคาขายปลีก)
151,PLTA0136,A,0,ทองพันชั่ง,2568,,,–,S,–,ไม่มีการซื้อขายในตลาด
152,PLTA0137,A,1,ทองหลาง,2568,150,500,บาท/ต้น,S,150,ร้านขายต้นไม้ (ราคาขายปลีก)
153,PLTA0138,A,1,ทองอุไร,2568,80,250,บาท/ต้น,S,80,ร้านขายต้นไม้ (ราคาขายปลีก)
154,PLTA0139,A,1,ทัง,2568,,,–,S,–,ไม่มีการซื้อขายในตลาด
155,PLTA0140,A,1,ทับทิม,2568,200,600,บาท/ต้น,S,200,ตลาดไท / ตลาดต้นไม้ (ราคาขายส่ง)
156,PLTA0141,A,1,ทุเรียนเทศ ทุเรียนน้ำ,2568,300,1200,บาท/ต้น,S,300,ร้านขายต้นไม้ (ราคาขายปลีก)
157,PLTA0142,A,1,ทุเรียนพันธุ์พื้นเมือง/ทั่วไป,2568,2000,8000,บาท/ต้น,S,"2,000",ตลาดไท / ตลาดต้นไม้ (ราคาขายส่ง)
158,PLTA0143,A,1,ทุเรียนพันธุ์ดี ก. ขนาดเล็ก สูงไม่ถึง 2 เมตร,2568,2000,5000,บาท/ต้น,S,"2,000",ตลาดไท / ตลาดต้นไม้ (ราคาขายส่ง)
159,PLTA0143,A,1,ทุเรียนพันธุ์ดี ข. ขนาดกลาง สูงตั้งแต่ 2 เมตรขึ้นไป,2568,5000,12000,บาท/ต้น,S,–,ตลาดไท / ตลาดต้นไม้ (ราคาขายส่ง)
160,PLTA0143,A,1,ทุเรียนพันธุ์ดี ค. ขนาดใหญ่ มีผลแล้ว,2568,15000,30000,บาท/ต้น,S,–,ตลาดไท / ตลาดต้นไม้ (ราคาขายส่ง)
161,PLTA0144,A,1,เทียนทอง,2568,50,150,บาท/ต้น,S,50,ร้านขายต้นไม้ (ราคาขายปลีก)
162,PLTA0145,A,1,เทียนหยด (ช่อม่วง ฟองสมุทร),2568,100,400,บาท/ต้น,S,100,ร้านขายต้นไม้ (ราคาขายปลีก)
163,PLTA0146,A,1,เทียม,2568,,,–,S,–,ไม่มีการซื้อขายในตลาด
164,PLTA0147,A,1,ไทร,2568,500,2000,บาท/ต้น,S,500,ตลาดสี่มุมเมือง (ราคาขายส่ง)
165,PLTA0148,A,1,ไทรดัด ก. ขนาดเล็ก (อายุ 1-2 ปี),2568,300,600,บาท/ต้น,S,300,ร้านขายต้นไม้ (ราคาขายปลีก)
166,PLTA0148,A,1,ไทรดัด ข. ขนาดกลาง (อายุ 2-3 ปี),2568,500,1500,บาท/ต้น,S,–,ร้านขายต้นไม้ (ราคาขายปลีก)
167,PLTA0148,A,1,ไทรดัด ค. ขนาดใหญ่ (อายุ 3 ปีขึ้นไป),2568,1000,5000,บาท/ต้น,S,–,ตลาดสี่มุมเมือง (ราคาขายส่ง)
168,PLTA0149,A,1,ไทรทอง,2568,100,300,บาท/ต้น,S,100,ร้านขายต้นไม้ (ราคาขายปลีก)
169,#N/A,A,#N/A,ธัมมัง ทำมัง,2568,,,–,S,–,ไม่มีการซื้อขายในตลาด
170,PLTA0151,A,1,นนทรี ก. สูงไม่ถึง 3 เมตร,2568,300,800,บาท/ต้น,S,300,ร้านขายต้นไม้ (ราคาขายปลีก)
171,PLTA0151,A,1,นนทรี ข. สูงตั้งแต่ 3 เมตรขึ้นไป,2568,800,2500,บาท/ต้น,S,–,ตลาดสี่มุมเมือง (ราคาขายส่ง)
172,PLTA0152,A,1,นมแมว นมควาย,2568,100,400,บาท/ต้น,S,100,ร้านขายต้นไม้ (ราคาขายปลีก)
173,PLTA0153,A,1,นมวัว,2568,200,600,บาท/ต้น,S,200,ร้านขายต้นไม้ (ราคาขายปลีก)
174,PLTA0154,A,1,น้อยหน่าพันธุ์ดี,2568,300,1000,บาท/ต้น,S,300,ตลาดไท / ตลาดต้นไม้ (ราคาขายส่ง)
175,PLTA0155,A,1,น้อยหน่าพันธุ์พื้นเมือง/ทั่วไป,2568,150,600,บาท/ต้น,S,150,ตลาดไท / ตลาดต้นไม้ (ราคาขายส่ง)
176,PLTA0156,A,1,น้อยโหน่ง,2568,200,800,บาท/ต้น,S,200,ร้านขายต้นไม้ (ราคาขายปลีก)
177,PLTA0157,A,1,นางพญาเสือโคร่ง,2568,1000,5000,บาท/ต้น,S,"1,000",ร้านขายต้นไม้ (ราคาขายปลีก)
178,PLTA0158,A,1,น้ำเกลื้อน น้ำเกลี้ยง,2568,,,–,S,–,ไม่มีการซื้อขายในตลาด
179,PLTA0159,A,1,น้ำเต้า,2568,500,3000,บาท/ต้น,S,500,ร้านขายต้นไม้ (ราคาขายปลีก)
180,PLTA0160,A,1,นุ่น,2568,100,400,บาท/ต้น,S,100,ร้านขายต้นไม้ (ราคาขายปลีก)
181,PLTA0161,A,1,เนียง,2568,,,–,S,–,ไม่มีการซื้อขายในตลาด
182,PLTA0162,A,1,เนียน,2568,,,–,S,–,ไม่มีการซื้อขายในตลาด
183,PLTA0163,A,1,บ๊วย,2568,300,1000,บาท/ต้น,S,300,ตลาดไท / ตลาดต้นไม้ (ราคาขายส่ง)
184,PLTA0164,A,1,เบ็ญ,2568,,,–,S,–,ไม่มีการซื้อขายในตลาด
185,PLTA0165,A,1,โบตั๋น,2568,100,400,บาท/ต้น,S,100,ร้านขายต้นไม้ (ราคาขายปลีก)
186,PLTA0166,A,1,ใบเงิน ใบทอง ใบนาค,2568,100,300,บาท/ต้น,S,100,ร้านขายต้นไม้ (ราคาขายปลีก)
187,PLTA0167,A,1,บัวสวรรค์ บัวฝรั่ง กัตตาเวีย,2568,500,3000,บาท/ต้น,S,500,ร้านขายต้นไม้ (ราคาขายปลีก)
188,PLTA0168,A,1,บานบุรี,2568,80,250,บาท/ต้น,S,80,ร้านขายต้นไม้ (ราคาขายปลีก)
189,PLTA0169,A,1,บุนนาค,2568,200,600,บาท/ต้น,S,200,ร้านขายต้นไม้ (ราคาขายปลีก)
190,PLTA0170,A,1,บุหงา (ส่าหรี),2568,150,500,บาท/ต้น,S,150,ร้านขายต้นไม้ (ราคาขายปลีก)
191,PLTA0171,A,1,ปรง (ไม้ประดับ),2568,500,4000,บาท/ต้น,S,500,ตลาดสี่มุมเมือง (ราคาขายส่ง)
192,PLTA0172,A,1,ประ,2568,,,–,S,–,ไม่มีการซื้อขายในตลาด
193,PLTA0173,A,1,ประดู่,2568,300,1200,บาท/ต้น,S,300,ร้านขายต้นไม้ / กรมป่าไม้ (ราคาขายปลีก)
